projectId,trlCurrent,duration_months,trl_gap,primaryTxLevel,otherOrgCount
157166,5.0,121.7,4.0,3,2
157638,2.0,17.233333333333334,2.0,1,1
146752,3.0,12.166666666666666,0.0,1,1
146748,6.0,12.166666666666666,0.0,3,5
146794,3.0,12.166666666666666,0.0,2,2
146768,7.0,12.166666666666666,0.0,2,1
157212,6.0,5.066666666666666,0.0,3,1
117114,4.0,24.333333333333332,0.0,3,2
146766,7.0,12.166666666666666,0.0,1,1
146749,6.0,12.166666666666666,0.0,3,1
157200,4.0,5.066666666666666,0.0,3,1
146772,6.0,24.333333333333332,0.0,1,5
117130,2.0,36.5,1.0,1,1
146770,6.0,12.166666666666666,0.0,3,1
146767,6.0,12.166666666666666,0.0,3,1
117159,3.0,36.5,1.0,2,1
117116,2.0,36.5,1.0,1,1
146747,4.0,24.333333333333332,2.0,1,3
97188,,23.666666666666668,,3,1
96495,5.0,39.5,1.0,2,5
96493,5.0,39.5,1.0,2,4
96500,5.0,49.666666666666664,1.0,2,2
116091,2.0,36.5,3.0,2,3
96503,5.0,84.16666666666667,1.0,2,2
97157,,23.666666666666668,,3,1
117502,,36.5,,2,13
96498,5.0,85.2,1.0,2,9
96502,5.0,53.7,1.0,2,3
96541,1.0,24.3,2.0,2,1
96540,2.0,36.46666666666667,2.0,2,2
96537,3.0,36.46666666666667,1.0,2,3
96532,2.0,36.46666666666667,2.0,2,3
96531,2.0,36.46666666666667,2.0,2,3
96510,3.0,36.46666666666667,1.0,2,4
96509,1.0,36.46666666666667,2.0,2,3
95813,2.0,36.5,2.0,3,3
95811,3.0,36.5,1.0,3,3
95809,2.0,36.5,2.0,3,3
95816,2.0,37.5,2.0,3,4
157209,4.0,17.233333333333334,1.0,1,2
157210,3.0,5.066666666666666,0.0,2,1
117153,5.0,36.5,1.0,2,1
146775,3.0,24.333333333333332,3.0,3,2
146756,2.0,24.333333333333332,1.0,3,1
146252,3.0,12.166666666666666,0.0,3,3
105722,3.0,48.666666666666664,2.0,1,1
117152,4.0,24.333333333333332,0.0,3,2
146521,3.0,12.133333333333333,0.0,3,1
106579,6.0,98.36666666666666,0.0,3,1
96293,5.0,33.266666666666666,0.0,2,4
96296,7.0,51.7,0.0,2,4
96299,7.0,27.333333333333332,0.0,2,10
96303,5.0,27.2,0.0,2,4
91952,5.0,72.06666666666666,0.0,3,1
33098,5.0,24.333333333333332,0.0,3,2
96297,5.0,30.733333333333334,0.0,2,1
92791,4.0,26.9,0.0,3,1
34758,5.0,36.5,0.0,3,2
10969,5.0,40.53333333333333,,3,2
94898,9.0,78.33333333333333,0.0,3,2
96309,3.0,45.1,0.0,2,1
33097,5.0,39.03333333333333,0.0,3,2
17501,5.0,26.866666666666667,,3,3
10989,6.0,36.53333333333333,0.0,3,3
34775,5.0,19.233333333333334,0.0,3,3
91932,3.0,43.63333333333333,0.0,3,1
34767,4.0,57.333333333333336,0.0,3,2
11903,2.0,39.53333333333333,,3,3
11838,6.0,42.56666666666667,0.0,3,2
92764,4.0,29.4,0.0,3,1
15873,5.0,60.833333333333336,0.0,3,2
93122,7.0,61.0,,3,3
96314,4.0,56.266666666666666,0.0,2,1
18711,6.0,25.333333333333332,,3,3
92992,6.0,40.56666666666667,,3,3
96938,3.0,52.0,3.0,2,3
91949,4.0,48.666666666666664,0.0,3,1
91984,4.0,64.26666666666667,0.0,3,1
11859,4.0,36.46666666666667,0.0,3,2
40857,9.0,85.9,0.0,3,1
40846,8.0,65.4,0.0,3,2
11036,4.0,48.666666666666664,1.0,3,2
18714,4.0,28.4,,3,3
15085,6.0,39.9,,3,3
18663,6.0,35.46666666666667,,3,2
34771,4.0,24.366666666666667,0.0,3,3
11861,6.0,44.63333333333333,0.0,3,2
10478,4.0,40.53333333333333,,3,2
92790,4.0,28.133333333333333,0.0,3,1
92796,6.0,24.666666666666668,0.0,3,1
10472,4.0,42.06666666666667,0.0,3,3
10469,4.0,38.86666666666667,0.0,3,3
92784,4.0,28.4,0.0,3,1
18784,4.0,24.866666666666667,,3,3
34779,5.0,37.53333333333333,,3,3
18871,6.0,51.833333333333336,0.0,3,2
92771,5.0,36.03333333333333,0.0,3,1
17496,3.0,42.53333333333333,,3,3
10482,4.0,47.13333333333333,0.0,3,2
10943,5.0,36.5,,3,2
10974,5.0,44.266666666666666,0.0,3,2
10982,6.0,44.666666666666664,,3,2
10983,,30.333333333333332,,3,2
11026,5.0,48.6,,3,1
11040,4.0,28.833333333333332,,3,1
15095,4.0,43.766666666666666,,3,2
34759,5.0,36.5,0.0,3,2
11032,6.0,38.2,,3,2
92779,6.0,30.5,0.0,3,1
15099,6.0,62.7,0.0,3,2
17479,4.0,43.166666666666664,,3,2
10479,3.0,43.6,0.0,3,2
91960,6.0,42.53333333333333,0.0,3,1
40865,7.0,55.666666666666664,0.0,3,1
11029,4.0,41.1,0.0,3,2
10951,6.0,36.5,0.0,3,2
92787,5.0,49.666666666666664,0.0,3,1
34760,5.0,24.466666666666665,0.0,3,2
92766,7.0,57.766666666666666,0.0,3,1
11001,6.0,39.53333333333333,0.0,3,3
96300,6.0,36.5,0.0,2,2
96311,6.0,27.4,0.0,2,4
96313,4.0,53.7,0.0,2,7
11837,4.0,30.333333333333332,0.0,3,3
11843,7.0,51.733333333333334,0.0,3,2
11847,5.0,39.53333333333333,0.0,3,2
10958,5.0,36.7,,3,2
96308,6.0,28.333333333333332,0.0,2,3
11021,6.0,36.5,,3,2
18708,6.0,25.433333333333334,0.0,3,3
34754,5.0,24.3,0.0,3,2
13646,6.0,27.333333333333332,0.0,3,2
18664,4.0,26.133333333333333,,3,3
92792,4.0,31.4,0.0,3,1
18687,5.0,24.333333333333332,,3,3
18727,4.0,23.4,0.0,3,2
18743,5.0,25.1,,3,2
92782,3.0,25.8,0.0,3,2
18754,5.0,36.5,,3,3
11028,,24.333333333333332,,3,1
34777,4.0,28.8,0.0,3,3
11033,3.0,36.46666666666667,,3,2
11031,3.0,45.5,,3,1
10964,5.0,55.7,0.0,3,2
10960,5.0,65.46666666666667,,3,1
94345,4.0,37.96666666666667,0.0,3,3
96310,4.0,41.0,0.0,2,3
10953,5.0,39.56666666666667,,3,2
10948,6.0,25.333333333333332,0.0,3,1
34756,5.0,44.93333333333333,0.0,3,2
34346,4.0,38.53333333333333,0.0,3,2
17500,4.0,54.1,0.0,3,2
18867,5.0,52.733333333333334,0.0,3,2
17499,4.0,43.13333333333333,0.0,3,2
13641,6.0,53.86666666666667,0.0,3,2
11004,5.0,37.5,2.0,3,2
11000,6.0,61.1,,3,2
10981,4.0,43.63333333333333,,3,2
10979,3.0,36.46666666666667,,3,2
10978,,24.333333333333332,,3,1
10963,5.0,57.333333333333336,0.0,3,2
10956,5.0,38.53333333333333,,3,2
10480,4.0,39.53333333333333,1.0,3,2
10476,4.0,48.666666666666664,0.0,3,3
92760,7.0,32.43333333333333,0.0,3,1
92033,4.0,31.133333333333333,0.0,3,1
91967,3.0,18.233333333333334,,3,1
91951,3.0,38.46666666666667,0.0,3,1
15097,4.0,60.833333333333336,0.0,3,2
34757,6.0,59.833333333333336,0.0,3,2
17477,5.0,70.7,0.0,3,3
15098,6.0,39.56666666666667,0.0,3,2
11035,,27.4,,3,1
11027,6.0,43.333333333333336,0.0,3,2
10999,6.0,40.56666666666667,1.0,3,2
10994,,36.5,,3,2
10988,,41.53333333333333,,3,2
10973,,24.333333333333332,,3,2
10968,5.0,49.666666666666664,0.0,3,2
10477,5.0,29.366666666666667,,3,2
11846,4.0,11.1,,3,1
10954,5.0,56.0,,3,1
10967,5.0,39.6,1.0,3,2
10996,4.0,48.7,,3,1
91917,4.0,82.66666666666667,0.0,3,1
15090,6.0,38.96666666666667,0.0,3,2
92788,5.0,30.4,0.0,3,1
96946,3.0,48.666666666666664,1.0,2,2
11860,6.0,36.46666666666667,0.0,3,3
96411,4.0,46.666666666666664,0.0,2,5
96410,5.0,52.733333333333334,0.0,2,3
96409,4.0,59.8,0.0,2,3
96401,4.0,54.766666666666666,0.0,2,4
96399,4.0,55.766666666666666,1.0,2,5
96398,4.0,65.93333333333334,1.0,2,4
96397,4.0,61.266666666666666,1.0,2,2
96936,4.0,36.46666666666667,0.0,2,2
40834,5.0,24.3,,3,2
94346,4.0,54.2,0.0,3,4
94337,3.0,56.333333333333336,0.0,3,3
94344,4.0,59.86666666666667,0.0,3,4
94340,3.0,36.5,0.0,3,2
91897,6.0,51.63333333333333,0.0,3,1
96942,4.0,46.233333333333334,0.0,2,6
106639,4.0,52.666666666666664,3.0,3,3
117090,3.0,52.733333333333334,2.0,3,8
93023,5.0,12.133333333333333,1.0,3,5
93284,3.0,24.3,0.0,3,2
94853,1.0,12.133333333333333,0.0,2,1
96759,4.0,36.46666666666667,0.0,3,1
146878,3.0,12.133333333333333,0.0,1,1
95916,2.0,24.333333333333332,0.0,3,1
94847,5.0,12.133333333333333,0.0,3,1
117093,2.0,57.8,1.0,3,6
147022,5.0,12.133333333333333,0.0,1,4
117419,7.0,12.133333333333333,0.0,3,1
96770,5.0,73.03333333333333,0.0,1,1
154830,4.0,97.36666666666666,2.0,1,2
157150,,8.733333333333333,,3,2
95606,3.0,34.333333333333336,0.0,3,2
4815,4.0,23.333333333333332,0.0,2,1
117531,,4.0,,3,2
117520,,16.233333333333334,,3,2
117523,,6.733333333333333,,2,3
117534,,8.533333333333333,,3,2
117543,,2.8333333333333335,,3,2
117528,,13.033333333333333,,3,2
117550,,8.966666666666667,,2,2
117551,,12.6,,3,2
117537,,8.4,,3,2
106557,4.0,21.3,0.0,3,4
117539,4.0,24.733333333333334,0.0,3,3
117522,,25.466666666666665,,2,2
95586,3.0,14.766666666666667,0.0,3,5
94154,3.0,10.8,0.0,3,6
91402,4.0,7.6,0.0,3,21
117518,,6.966666666666667,,3,2
10935,5.0,6.133333333333334,0.0,1,5
117536,,6.0,,3,2
117548,,4.4,,3,2
106556,5.0,7.933333333333334,0.0,3,17
117546,,7.066666666666666,,3,2
117540,,3.1666666666666665,,3,2
91410,5.0,4.933333333333334,0.0,3,8
117542,,8.4,,3,2
117538,,3.6,,3,2
117535,,8.933333333333334,,3,2
117541,,5.933333333333334,,3,3
106559,3.0,6.633333333333334,0.0,3,6
117533,,4.4,,3,2
117549,,13.3,,2,2
117532,,5.133333333333334,,3,2
117530,,3.066666666666667,,1,2
117526,3.0,16.133333333333333,0.0,3,6
117525,4.0,11.2,0.0,3,6
117545,,22.666666666666668,,2,2
117519,,11.8,,3,2
96170,4.0,38.166666666666664,0.0,3,2
117529,,8.366666666666667,,3,2
117521,,21.366666666666667,,2,2
117544,,4.333333333333333,,2,2
93868,4.0,10.133333333333333,0.0,3,2
93974,4.0,61.666666666666664,0.0,3,14
4851,6.0,61.06666666666667,0.0,3,52
146757,3.0,12.166666666666666,0.0,1,1
157086,3.0,13.166666666666666,0.0,3,1
90995,3.0,48.666666666666664,0.0,3,1
154487,2.0,24.333333333333332,2.0,3,2
154531,4.0,24.333333333333332,1.0,3,2
154382,5.0,13.2,0.0,3,3
96525,3.0,36.46666666666667,3.0,3,2
93255,3.0,12.133333333333333,0.0,3,1
94841,6.0,24.333333333333332,0.0,3,1
117098,3.0,110.6,3.0,3,5
105665,3.0,28.333333333333332,3.0,3,4
156386,5.0,39.333333333333336,0.0,3,3
155235,4.0,42.53333333333333,1.0,3,2
155234,6.0,16.233333333333334,0.0,3,1
146492,5.0,12.133333333333333,0.0,1,2
116764,5.0,50.7,0.0,3,3
116760,5.0,42.53333333333333,0.0,3,4
154843,,24.333333333333332,,2,2
156353,2.0,48.666666666666664,1.0,3,2
154840,,29.366666666666667,,2,3
88223,,36.5,,3,1
156345,2.0,21.3,1.0,3,2
156366,2.0,12.166666666666666,1.0,3,2
154855,5.0,33.43333333333333,0.0,3,4
24052,,12.133333333333333,,3,1
156367,2.0,48.666666666666664,1.0,3,2
146491,5.0,12.133333333333333,0.0,3,2
146360,5.0,12.133333333333333,0.0,3,1
156362,2.0,48.666666666666664,1.0,3,2
155247,4.0,35.5,2.0,2,2
116763,5.0,7.633333333333334,0.0,3,2
156323,2.0,48.666666666666664,1.0,3,2
156364,2.0,48.666666666666664,1.0,3,2
154857,5.0,24.233333333333334,0.0,3,2
154845,,24.333333333333332,,3,2
